자치구,관서명,구분,주소,위도,경도
마포구,상암파출소,파출소,서울특별시 마포구  매봉산로 76,37.5782806848788,126.893844619605
마포구,망원파출소,파출소,서울특별시 마포구  망원로2길 63,37.554339428821,126.902733477039
마포구,연남파출소,파출소,서울특별시 마포구  연남로 4,37.5603356081643,126.923762130152
영등포구,중앙지구대,지구대,서울특별시 영등포구  영등포로46길 14,37.5180106135789,126.907513795007
영등포구,여의도지구대,지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,37.5296207835407,126.926691111146
영등포구,문래지구대,지구대,서울특별시 영등포구  경인로 759,37.5135821557429,126.897650067059
영등포구,신풍지구대,지구대,서울특별시 영등포구 대방천로 195(신길동 3741-23),37.4991052479311,126.912794249609
영등포구,신길지구대,지구대,서울특별시 영등포구 노량진로 11,37.5129721223424,126.926507760525
영등포구,양평파출소,파출소,서울특별시 영등포구  선유로 95,37.522723047751,126.889684521673
영등포구,당산지구대,지구대,서울특별시 영등포구  당산로 221,37.5336156813601,126.901263890593
